Date,Brk,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Cord Serial Number
6/13/2025,,148,23.0,0,AF,0.0,65524822
6/13/2025,B,150,24.0,-2,AF,0.0,65524822
6/13/2025,,144,22.0,1,AF,0.0,65524822
6/13/2025,,124,36.0,-3,AF,0.0,65524822
6/14/2025,F,147,27.0,1,AF,1.0,65524822
6/14/2025,B,164,6.0,,AF,,65524822
6/14/2025,,162,6.0,,AF,,65524822
6/14/2025,,138,28.0,-3,AF,1.0,65524822
6/14/2025,,163,14.0,1,AF,1.0,65524822
6/14/2025,,150,22.0,-2,AF,0.0,65524822
6/14/2025,B,165,16.0,1,AF,0.0,65524822
6/14/2025,,152,22.0,-3,AF,0.0,65524822
6/14/2025,,133,24.0,,AF,,65524822
6/14/2025,,127,33.0,-2,AF,1.0,65524822
6/14/2025,,125,24.0,,AF,,65524822
6/14/2025,B,160,21.0,0,AF,0.0,65524822
6/14/2025,,153,21.0,-3,AF,0.0,65524822
6/14/2025,,150,23.0,-5,AF,0.0,65524822
6/14/2025,,142,24.0,2,AF,4.0,65524822
6/14/2025,,163,9.0,,AF,,65524822
6/14/2025,,160,19.0,-4,AF,2.0,65524822
6/14/2025,,133,24.0,,AF,,65524822
6/14/2025,,136,24.0,,AF,,65524822
6/14/2025,B,165,20.0,-3,AF,1.0,65524822
6/14/2025,,155,21.0,-4,AF,0.0,65524822
6/14/2025,,145,12.0,,AF,,65524822
6/14/2025,,145,23.0,-1,AF,0.0,65524822
6/14/2025,,136,28.0,-1,AF,0.0,65524822
6/14/2025,,129,21.0,-1,AF,0.0,65524822
6/14/2025,B,166,29.0,-4,AF,0.0,65524822
6/14/2025,,144,26.0,0,AF,0.0,65524822
6/14/2025,,143,25.0,0,AF,0.0,65524822
